Gene Name	Array data file names	Sample REF	Antibody.validation.status	Antibody.Origin	Antibody.Source..Company.	Catalog.Number	Protein.function.and.regulatory.pathways	Website
YBX1	YB-1_pS102-R-V_GBL1115735.txt	YB-1_pS102-R-V	Validated	Rabbit	CST	2900	Belongs to a family of evolutionarily conserved, multifunctional Y-box proteins that bind to DNA and RNA,  function as regulators of transcription, RNA metabolism, and protein synthesis	http://www.cellsignal.com/products/2900.html
ARAF	A-Raf-R-V_GBL1115867.txt	A-Raf-R-V						
ARID1A	ARID1A-R-C_GBL1115861.txt	ARID1A-R-C	Validated	Mouse	Abgent	AT1188a	Involves in PI3K/PTEN signaling	
BRAF	B-Raf_pS445-R-V_GBL1115859.txt	B-Raf_pS445-R-V						
BCL2A1	Bcl2A1-R-V_GBL1115863.txt	Bcl2A1-R-V						
BRD4	BRD4-R-V_GBL1115869.txt	BRD4-R-V						
ABL1	c-Abl-R-V_GBL1115872.txt	c-Abl-R-V						
CASP3	Caspase-3-R-C_GBL1115864.txt	Caspase-3-R-C	Use with Caution	Rabbit	Abcam	ab32042	Involved in the activation cascade of caspases responsible for apoptosis execution.	http://www.abcam.com/active-caspase-3-antibody-e83-77-ab32042.html
DPP4	CD26-R-V_GBL1115865.txt	CD26-R-V						
CHEK1	Chk1_pS296-R-V_GBL1115860.txt	Chk1_pS296-R-V						
COG3	COG3-R-V_GBL1115858.txt	COG3-R-V						
GUSP4	DUSP4-R-V_GBL1115862.txt	DUSP4-R-V						
ERCC5	ERCC5-R-C_GBL1115868.txt	ERCC5-R-C						
IGFR1	IGF1R_pY1135_Y1136-R-V_GBL1115866.txt	IGF1R_pY1135_Y1136-R-V						
IRF1	IRF-1-R-C_GBL1115873.txt	IRF-1-R-C						
JAK2	Jak2-R-V_GBL1115871.txt	Jak2-R-V						
CDKN2A	p16_INK4a-R-V_GBL1115857.txt	p16_INK4a-R-V						
PTPN11	SHP-2_pY542-R-C_GBL1115870.txt	SHP-2_pY542-R-C						
CDK1	CDK1_pY15-R-C_GBL1115874.txt	CDK1_pY15-R-C						
